"Section"                        , "Action"                                                        , "Shortcut" , "Enabled"
"Launchpad & Dock"               , "Turn Dock hiding on/off"                                       , "⌥⌘D"      , "O"
"Launchpad & Dock"               , "Show Launchpad"                                                , "none"     , "X"
"Display"                        , "Decrease display brightness"                                   , "F14"      , "O"
"Display"                        , "Increase display brightness"                                   , "F15"      , "O"
"Mission Control"                , "Mission Control"                                               , "⌃↑"       , "O"
"Mission Control"                , "Show Notification Center"                                      , "none"     , "X"
"Mission Control"                , "Turn Do Not Disturb on/off"                                    , "none"     , "O"
"Mission Control"                , "Application windows"                                           , "⌃↓"       , "O"
"Mission Control"                , "Show Desktop"                                                  , "F11"      , "O"
"Mission Control"                , "Turn Stage Manager on/off"                                     , "none"     , "O"
"Mission Control"                , "Move left a space"                                             , "⌃←"       , "O"
"Mission Control"                , "Move right a space"                                            , "⌃→"       , "O"
"Mission Control"                , "Switch to Desktop 1"                                           , "⌃1"       , "X"
"Mission Control"                , "Switch to Desktop 2"                                           , "⌃2"       , "X"
"Mission Control"                , "Quick Note"                                                    , "🌐Q"      , "O"
"Windows > General"              , "Minimize"                                                      , "⌘M"       , "O"
"Windows > General"              , "Zoom"                                                          , "none"     , "O"
"Windows > General"              , "Fill"                                                          , "⌃🌐F"     , "O"
"Windows > General"              , "Center"                                                        , "⌃🌐C"     , "O"
"Windows > General"              , "Return to Previous Size"                                       , "⌃🌐R"     , "O"
"Windows > Halves"               , "Tile Left Half"                                                , "⌃🌐←"     , "O"
"Windows > Halves"               , "Tile Right Half"                                               , "⌃🌐→"     , "O"
"Windows > Halves"               , "Tile Top Half"                                                 , "⌃🌐↑"     , "O"
"Windows > Halves"               , "Tile Bottom Half"                                              , "⌃🌐↓"     , "O"
"Windows > Quarters"             , "Tile Top Left Quarter"                                         , "none"     , "O"
"Windows > Quarters"             , "Tile Top Right Quarter"                                        , "none"     , "O"
"Windows > Quarters"             , "Tile Bottom Left Quarter"                                      , "none"     , "O"
"Windows > Quarters"             , "Tile Bottom Right Quarter"                                     , "none"     , "O"
"Windows > Arrange"              , "Arrange Left and Right"                                        , "⌃⇧🌐←"    , "O"
"Windows > Arrange"              , "Arrange Right and Left"                                        , "⌃⇧🌐→"    , "O"
"Windows > Arrange"              , "Arrange Top and Bottom"                                        , "⌃⇧🌐↑"    , "O"
"Windows > Arrange"              , "Arrange Bottom and Top"                                        , "⌃⇧🌐↓"    , "O"
"Windows > Arrange"              , "Arrange in Quarters"                                           , "none"     , "O"
"Windows > Full Screen Tile"     , "Full Screen Tile Left"                                         , "none"     , "X"
"Windows > Full Screen Tile"     , "Full Screen Tile Right"                                        , "none"     , "X"
"Keyboard"                       , "Change the way Tab moves focus"                                , "⌃F7"      , "O"
"Keyboard"                       , "Turn keyboard access on or off"                                , "⌃F1"      , "O"
"Keyboard"                       , "Move focus to the menu bar"                                    , "⌃F2"      , "O"
"Keyboard"                       , "Move focus to the Dock"                                        , "⌃F3"      , "O"
"Keyboard"                       , "Move focus to active or next window"                           , "⌃F4"      , "O"
"Keyboard"                       , "Move focus to the window toolbar"                              , "⌃F5"      , "O"
"Keyboard"                       , "Move focus to the floating window"                             , "⌃F6"      , "O"
"Keyboard"                       , "Move focus to next window"                                     , "⌘`"       , "O"
"Keyboard"                       , "Move focus to status menus"                                    , "⌃F8"      , "O"
"Keyboard"                       , "Show contextual menu"                                          , "⌃↩"       , "O"
"Input Sources"                  , "Select the previous input source"                              , "⌃Space"   , "O"
"Input Sources"                  , "Select next source in Input menu"                              , "⌃⌥Space"  , "O"
"Screenshots"                    , "Save picture of screen as a file"                              , "⇧⌘3"      , "O"
"Screenshots"                    , "Copy picture of screen to the clipboard"                       , "⇧⌃⌘3"     , "O"
"Screenshots"                    , "Save picture of selected area as a file"                       , "⇧⌘4"      , "O"
"Screenshots"                    , "Copy picture of selected area to the clipboard"                , "⇧⌃⌘4"     , "O"
"Screenshots"                    , "Screenshot and recording options"                              , "⇧⌘5"      , "O"
"Presenter Overlay"              , "Turn Presenter Overlay (small) on or off"                      , "none"     , "O"
"Presenter Overlay"              , "Turn Presenter Overlay (large) on or off"                      , "none"     , "O"
"Services > Development"         , "Activity Monitor"                                              , "none"     , "O"
"Services > Development"         , "Allocations & Leaks"                                           , "none"     , "O"
"Services > Development"         , "File Activity"                                                 , "none"     , "O"
"Services > Development"         , "System Trace"                                                  , "none"     , "O"
"Services > Development"         , "Compare Files"                                                 , "none"     , "X"
"Services > Development"         , "Compare To Main"                                               , "none"     , "X"
"Services > Development"         , "Create Service"                                                , "none"     , "X"
"Services > Development"         , "Create Workflow"                                               , "none"     , "X"
"Services > Development"         , "Get Result of AppleScript"                                     , "⌘*"       , "X"
"Services > Development"         , "Make New AppleScript"                                          , "none"     , "X"
"Services > Development"         , "Run as AppleScript"                                            , "none"     , "X"
"Services > Development"         , "Time Profile Active Application"                               , "none"     , "O"
"Services > Development"         , "Time Profile App Under Mouse"                                  , "none"     , "O"
"Services > Development"         , "Time Profile Entire System"                                    , "none"     , "O"
"Services > Development"         , "Toggle Instruments Recording"                                  , "none"     , "O"
"Services > Files and Folders"   , "Open Selected File in TextEdit"                                , "none"     , "X"
"Services > Files and Folders"   , "New Terminal at Folder"                                        , "none"     , "O"
"Services > Files and Folders"   , "New Terminal Tab at Folder"                                    , "none"     , "O"
"Services > Files and Folders"   , "Encode Selected Audio Files"                                   , "none"     , "O"
"Services > Files and Folders"   , "Encode Selected Video Files"                                   , "none"     , "O"
"Services > Files and Folders"   , "Folder Actions Setup..."                                       , "none"     , "O"
"Services > Files and Folders"   , "MEGA"                                                          , "none"     , "O"
"Services > Files and Folders"   , "New File"                                                      , "none"     , "O"
"Services > Files and Folders"   , "New Markdown File"                                             , "none"     , "O"
"Services > Files and Folders"   , "Open in VSCodium"                                              , "none"     , "O"
"Services > Files and Folders"   , "Send File To Bluetooth Device"                                 , "⇧⌘B"      , "X"
"Services > Internet"            , "Add to Reading List"                                           , "none"     , "O"
"Services > Internet"            , "Open URL"                                                      , "none"     , "O"
"Services > Messaging"           , "New Email To Address"                                          , "none"     , "O"
"Services > Messaging"           , "New Email With Selection"                                      , "none"     , "O"
"Services > Pictures"            , "Set Desktop Picture"                                           , "none"     , "O"
"Services > Searching"           , "Look Up in Dictionary"                                         , "none"     , "O"
"Services > Searching"           , "Search With Google"                                            , "⇧⌘L"      , "O"
"Services > Searching"           , "Spotlight"                                                     , "⇧⌘F"      , "X"
"Services > Text"                , "Add to Music as a Spoken Track"                                , "none"     , "O"
"Services > Text"                , "Convert Text to Full Width"                                    , "none"     , "O"
"Services > Text"                , "Convert Text to Half Width"                                    , "none"     , "O"
"Services > Text"                , "Convert Text to Simplified Chinese"                            , "⌃⌥⇧⌘C"    , "O"
"Services > Text"                , "Convert Text to Traditional Chinese"                           , "⌃⇧⌘C"     , "O"
